code,name,type,latitude,longitude
HNK,Hoorn Kersenboogerd,stoptreinstation,52.653610229492,5.0855555534363
RAT,Raalte,stoptreinstation,52.391666412354,6.2775001525879
RTST,Rotterdam Stadion,facultatiefStation,51.893890380859,4.5197219848633
GLN,Geleen Oost,stoptreinstation,50.966945648193,5.8430557250977
HNO,Heino,stoptreinstation,52.427223205566,6.2211112976074
KTR,Kesteren,stoptreinstation,51.9313869,5.5833465
YPB,Den Haag Ypenburg,stoptreinstation,52.055278778076,4.39222240448
HNP,Hindeloopen,stoptreinstation,52.9464903,5.423063
EHS,Eindhoven Strijp-S,stoptreinstation,51.451110839844,5.4558334350586
SDA,Scheemda,stoptreinstation,53.1655362,6.9777775
EHV,Eindhoven Centraal,megastation,51.443332672119,5.4813890457153
LWC,Leeuwarden Camminghaburen,stoptreinstation,53.2021808,5.8422968
UHM,Uithuizermeeden,stoptreinstation,53.4145845,6.7202975
SDM,Schiedam Centrum,stoptreinstation,51.921243812803,4.4089937210083
AC,Abcoude,stoptreinstation,52.2785,4.977
SDT,Sliedrecht,stoptreinstation,51.829723358154,4.7783331871033
ASDL,Amsterdam Lelylaan,stoptreinstation,52.357776641846,4.8338890075684
ASDM,Amsterdam Muiderpoort,stoptreinstation,52.360553741455,4.9311113357544
HON,Holten,stoptreinstation,52.283889770508,6.42027759552
UHZ,Uithuizen,stoptreinstation,53.4099568,6.6748869
AH,Arnhem Centraal,knooppuntIntercitystation,51.985000610352,5.8991665840149
HMBH,Helmond Brouwhuis,stoptreinstation,51.47068,5.70177
HOR,Hollandsche Rading,stoptreinstation,52.17777633667,5.1791667938232
HRLW,Heerlen Woonboulevard,stoptreinstation,50.896667,5.952222
DMNZ,Diemen Zuid,stoptreinstation,52.330276489258,4.9558334350586
HMBV,Helmond Brandevoort,stoptreinstation,51.462223052979,5.6072220802307
GND,Hardinxveld-Giessendam,stoptreinstation,51.830554962158,4.8358335494995
BD,Breda,knooppuntIntercitystation,51.595554351807,4.7800002098083
BDE,Bunde,stoptreinstation,50.896945953369,5.7366666793823
UTLR,Utrecht Leidsche Rijn,stoptreinstation,52.09896,5.06523
BF,Baflo,stoptreinstation,53.3608969,6.5185581
BDG,Bodegraven,stoptreinstation,52.081390380859,4.7461109161377
GNN,Groningen Noord,stoptreinstation,53.2301469,6.5563172
UTLN,Utrecht Lunetten,stoptreinstation,52.06555557251,5.144166469574
BK,Beek-Elsloo,stoptreinstation,50.947498321533,5.7866668701172
BDM,Bedum,stoptreinstation,53.3068857,6.593054
BL,Beilen,stoptreinstation,52.854721069336,6.5211110115051
BN,Borne,stoptreinstation,52.298889160156,6.7480554580689
VLB,Vierlingsbeek,stoptreinstation,51.59193,5.99714
